Corn's Draft League,Main,Season 1,Absolute Victory,Swampert,Corsola-Galar
All Star Premier League,SS LC,Season 5,Singapore Fletchinder,Purrloin,Stunky
Cascade Draft League,Challengers Div 1,Season 9,Gibby Gibles,Buzzwole,Conkeldurr
Corn's Draft League,Main,Season 1,Boston Red Sawks,Cacturne,Cofagrigus
Cascade Draft League,Challengers Div 2,Season 9,Chicago Chatots,Cresselia,Grimmsnarl
Cascade Draft League,Masters,Season 9,Kajaani Sceptiles,Bronzong,Metagross
Corn's Draft League,Main,Season 1,King Groudon,Tapu Bulu,Swampert
Corn's Draft League,Main,Season 1,King Groudon,Hippowdon,Victini
Cascade Draft League,Challengers Div 2,Season 9,Sugar Sweet Sylveons,Oricorio,Raboot
Cascade Draft League,Challengers Div 2,Season 9,Bristol City Bewears,Hitmonchan,Hitmonlee
Cascade Draft League,Challengers Div 2,Season 9,Rivas Mold Breakers,Orbeetle,Bronzong
Corn's Draft League,Main,Season 1,King Groudon,Empoleon,Slowking-Galar
Cascade Draft League,Challengers Div 1,Season 9,Sheedge Squad,Camerupt-Mega,Sharpedo-Mega
Corn's Draft League,Main,Season 1,Dallas Glastriers,Golurk,Linoone
Corn's Draft League,Main,Season 1,Boston Red Sawks,Mienshao,Regigigas
Cascade Draft League,Masters,Season 9,Virginia Vaporeons,Mimikyu,Zygarde-10%
Cascade Draft League,Challengers Div 1,Season 9,Detroit Drapions,Glastrier,Jellicent
Corn's Draft League,Main,Season 1,King Groudon,Carbink,Pikachu
All Star Premier League,SS National Dex,Season 5,44th's Fire Blasts,Cradily,Torterra
Corn's Draft League,Main,Season 1,Long Island Lickitung,Togetic,Weezing
Corn's Draft League,Main,Season 1,Shitposting Serperiors,Komala,Golurk
Corn's Draft League,Main,Season 1,Los Angeles Rampardos,Gyarados,Nidoking
Corn's Draft League,Main,Season 1,King Groudon,Diancie-Mega,Latios-Mega
Corn's Draft League,Main,Season 1,Team Full Metal Wall,Bewear,Typhlosion
Corn's Draft League,Main,Season 1,King Groudon,Ninetales-Alola,Empoleon
Corn's Draft League,Main,Season 1,Absolute Victory,Granbull,Rotom
Corn's Draft League,Main,Season 1,King Groudon,Darmanitan-Galar,Torkoal
Corn's Draft League,Main,Season 1,Dallas Glastriers,Froslass,Golurk
Corn's Draft League,Main,Season 1,King Groudon,Absol-Mega,Diancie-Mega
Moon Lake Draft,Main,The Second,D.C Drapions,Komala,Coalossal
Corn's Draft League,Main,Season 1,Dallas Glastriers,Appletun,Froslass
All Star Premier League,SS National Dex,Season 5,Whiscash Wanderers,Stoutland,Kecleon
Corn's Draft League,Main,Season 1,Long Island Lickitung,Doublade,Dusknoir
Moon Lake Draft,Main,The Second,London ludicolos,Torkoal,Gallade
Corn's Draft League,Main,Season 1,Dallas Glastriers,Aerodactyl-Mega,Gyarados-Mega
All Star Premier League,ORAS Standard,Season 5,Amsterdam Bulushops,Uxie,Gurdurr
Corn's Draft League,Main,Season 1,Dallas Glastriers,Gyarados-Mega,Aerodactyl-Mega
Moon Lake Draft,Main,The Second,Vancouver Whiscash's,Whimsicott,Celebi
Moon Lake Draft,Main,The Second,Burning Reshirams,Altaria-Mega,Blastoise-Mega
Moon Lake Draft,Main,The Second,London ludicolos,Klefki,Diggersby
Moon Lake Draft,Main,The Second,London ludicolos,Slurpuff,Clawitzer
Cascade Draft League,Challengers Div 2,Season 9,Chicago Chatots,Muk-Alola,Slowking-Galar
Cascade Draft League,Challengers Div 2,Season 9,Glacier Bombers,Absol,Victreebel
All Star Premier League,SS National Dex,Season 5,Cherrygrove Chikoritas,Ribombee,Whimsicott
