Amateur League of Pokemon Heretics,Fisheous Rend Go Brrr,Season 11
Amateur League of Pokemon Heretics,Wish Teleport Repeat,Season 11
All Star Premier League,SS National Dex,Season 5
All Star Premier League,SS LC,Season 5
All Star Premier League,SS Tier 3 and Below,Season 5
All Star Premier League,ORAS Standard,Season 5
UPBA,Main,Season 8
Cascade Draft League,Challengers Div 2,Season 9
Cascade Draft League,Masters,Season 9
Cascade Draft League,Challengers Div 1,Season 9
SKL,Main,Season 9
Heatmor Feeding Grounds,Main,Season 2
COVID Lockdown Fast Draft,Main,Season 2
Moon Lake Draft,Main,The Second
Ever Grande Draft League,Main,Season 1
Corn's Draft League,Main,Season 1
