Cascade Draft League,Challengers Div 2,Season 9,Lisbon Lapras,Blastoise-Mega,Absol-Mega
Cascade Draft League,Challengers Div 2,Season 9,Bristol City Bewears,Absol-Mega,Blastoise-Mega
Cascade Draft League,Challengers Div 2,Season 9,Lisbon Lapras,Porygon-Z,Blastoise
Cascade Draft League,Challengers Div 2,Season 9,Bristol City Bewears,Blastoise,Porygon-Z
ALPH,Wish Teleport Repeat,Season 11,Vegas Night Marchers,Rhydon,Steelix
ALPH,Wish Teleport Repeat,Season 11,New Orleans Sandacondas,Steelix,Rhydon
All Star Premier League,SS National Dex,Season 5,Vegas Night Marchers,Swampert,Porygon2
All Star Premier League,SS National Dex,Season 5,Doomphants,Porygon2,Swampert
Corn's Draft League,Main,Season 1,Boston Red Sawks,Tyranitar-Mega,Latios-Mega
Corn's Draft League,Main,Season 1,King Groudon,Latios-Mega,Tyranitar-Mega
Corn's Draft League,Main,Season 1,Boston Red Sawks,Lycanroc-Dusk,Lycanroc
Corn's Draft League,Main,Season 1,Los Angeles Rampardos,Lycanroc,Lycanroc-Dusk
ALPH,Main,Season 6,Glasgow Regirocks,Tsareena,Decidueye
ALPH,Main,Season 6,Reykjavik Photon Geyser,Decidueye,Tsareena
ALPH,Main,Season 5,Glasgow Regirocks,Pidgeot-Mega,Aerodactyl-Mega
ALPH,Main,Season 5,Harrisonburg Hitmonlee,Aerodactyl-Mega,Pidgeot-Mega
ALPH,Main,Season 5,Milan Mimes Memes,Tangela,Torracat
ALPH,Main,Season 5,Colorado Mamoswine,Torracat,Tangela
ALPH T3 and Below,Main,Season 1,Singapore Sableyes,Doublade,Gligar
ALPH T3 and Below,Main,Season 1,Milan Mimes Memes,Gligar,Doublade
ALPH,Main,Season 4,Toronto Fire Chickens,Moltres,Salazzle
ALPH,Main,Season 4,Oregon Golducks,Salazzle,Moltres
ALPH,Main,Season 4,New England Patrats,Nidoqueen,Tentacruel
ALPH,Main,Season 4,Ketch These Hands,Tentacruel,Nidoqueen
ALPH,Main,Season 4,Atlanta Haunters,Cryogonal,Rhydon
